Type,Buy Amount,Buy Cur.,Sell Amount,Sell Cur.,Fee Amount (optional),Fee Cur. (optional),Exchange (optional),Trade Group (optional),Comment (optional),Date,Tx-ID
"Deposit","4.80000000000000","DFI","","","","","DeFiChain Light Wallet - Vault","DepositToVault - Deposit to Vault Wallet","DepositToVault","2021-12-26T14:53:53", "2_DFI20211226145353"
"Deposit","0.23445326000000","DFI","","","","","DeFiChain Light Wallet","","receive","2021-12-26T14:53:53", "DFI20211226145353_receive"
"Withdrawal","","","0.23445548000000","DFI","","","DeFiChain Light Wallet","","sent","2021-12-26T14:53:53", "DFI20211226145353_sent"
"Mining","0.00000960000000","BTC","","","","","DeFiChain Light Wallet","","Commission","2021-12-26T00:01:00", "BTC20211226000100_Commission"
"Mining","6.59914436000000","DFI","","","","","DeFiChain Light Wallet","","Rewards","2021-12-26T00:01:00", "DFI20211226000100_Rewards"
"Mining","0.11282139000000","DFI","","","","","DeFiChain Light Wallet","","Commission","2021-12-26T00:01:00", "DFI20211226000100_Commission"
"Withdrawal","","","10.90000000000000","DFI","","","DeFiChain Light Wallet","DepositToVault - Withdraw from DefiChain Wallet","DepositToVault","2021-12-25T22:21:32", "1_DFI20211225222132"
"Deposit","10.90000000000000","DFI","","","","","DeFiChain Light Wallet - Vault","DepositToVault - Deposit to Vault Wallet","DepositToVault","2021-12-25T22:21:32", "2_DFI20211225222132"
"Withdrawal","","","0.23445769000000","DFI","","","DeFiChain Light Wallet","","sent","2021-12-25T22:21:32", "DFI20211225222132_sent"
"Deposit","0.23445548000000","DFI","","","","","DeFiChain Light Wallet","","receive","2021-12-25T22:21:32", "DFI20211225222132_receive"
"Mining","0.00000094000000","BTC","","","","","DeFiChain Light Wallet","","Commission","2021-12-25T00:01:00", "BTC20211225000100_Commission"
"Mining","6.51630205000000","DFI","","","","","DeFiChain Light Wallet","","Rewards","2021-12-25T00:01:00", "DFI20211225000100_Rewards"
"Mining","0.02929214000000","DFI","","","","","DeFiChain Light Wallet","","Commission","2021-12-25T00:01:00", "DFI20211225000100_Commission"
"Withdrawal","","","6.40000000000000","DFI","","","DeFiChain Light Wallet","DepositToVault - Withdraw from DefiChain Wallet","DepositToVault","2021-12-24T06:05:38", "1_DFI20211224060538"
"Deposit","6.40000000000000","DFI","","","","","DeFiChain Light Wallet - Vault","DepositToVault - Deposit to Vault Wallet","DepositToVault","2021-12-24T06:05:38", "2_DFI20211224060538"
"Deposit","0.23445769000000","DFI","","","","","DeFiChain Light Wallet","","receive","2021-12-24T06:05:38", "DFI20211224060538_receive"
"Withdrawal","","","0.23445990000000","DFI","","","DeFiChain Light Wallet","","sent","2021-12-24T06:05:38", "DFI20211224060538_sent"
"Mining","0.00000148000000","BTC","","","","","DeFiChain Light Wallet","","Commission","2021-12-24T00:01:00", "BTC20211224000100_Commission"
"Mining","6.56286751000000","DFI","","","","","DeFiChain Light Wallet","","Rewards","2021-12-24T00:01:00", "DFI20211224000100_Rewards"
"Mining","0.07044213000000","DFI","","","","","DeFiChain Light Wallet","","Commission","2021-12-24T00:01:00", "DFI20211224000100_Commission"
"Withdrawal","","","13.93543500000000","DFI","","","DeFiChain Light Wallet","DepositToVault - Withdraw from DefiChain Wallet","DepositToVault","2021-12-23T07:15:03", "1_DFI20211223071503"
"Deposit","13.93543500000000","DFI","","","","","DeFiChain Light Wallet - Vault","DepositToVault - Deposit to Vault Wallet","DepositToVault","2021-12-23T07:15:03", "2_DFI20211223071503"
"Withdrawal","","","0.23446212000000","DFI","","","DeFiChain Light Wallet","","sent","2021-12-23T07:15:03", "DFI20211223071503_sent"
"Deposit","0.23445990000000","DFI","","","","","DeFiChain Light Wallet","","receive","2021-12-23T07:15:03", "DFI20211223071503_receive"
"Mining","0.00000381000000","BTC","","","","","DeFiChain Light Wallet","","Commission","2021-12-23T00:01:00", "BTC20211223000100_Commission"
"Mining","6.69164746000000","DFI","","","","","DeFiChain Light Wallet","","Rewards","2021-12-23T00:01:00", "DFI20211223000100_Rewards"
"Mining","0.11819750000000","DFI","","","","","DeFiChain Light Wallet","","Commission","2021-12-23T00:01:00", "DFI20211223000100_Commission"
"Mining","0.00000177000000","BTC","","","","","DeFiChain Light Wallet","","Commission","2021-12-22T00:01:00", "BTC20211222000100_Commission"
"Mining","6.68693214000000","DFI","","","","","DeFiChain Light Wallet","","Rewards","2021-12-22T00:01:00", "DFI20211222000100_Rewards"
"Mining","0.06555884000000","DFI","","","","","DeFiChain Light Wallet","","Commission","2021-12-22T00:01:00", "DFI20211222000100_Commission"
"Withdrawal","","","9.00000000000000","DFI","","","DeFiChain Light Wallet","DepositToVault - Withdraw from DefiChain Wallet","DepositToVault","2021-12-21T06:37:07", "1_DFI20211221063707"
"Deposit","9.00000000000000","DFI","","","","","DeFiChain Light Wallet - Vault","DepositToVault - Deposit to Vault Wallet","DepositToVault","2021-12-21T06:37:07", "2_DFI20211221063707"
